attack_id,features
871,"central_attack,through_ball"
872,"through_ball,central_attack"
873,"inside_box_shot,central_attack,through_ball,goal"
874,"central_attack,through_ball"
875,"central_attack,through_ball"
876,"through_ball,fast_break"
877,"central_attack,through_ball"
878,"central_attack,through_ball"
879,"central_attack,through_ball"
880,"central_attack,through_ball"
881,"central_attack,through_ball"
882,"central_attack,through_ball"
883,"central_attack,through_ball,goal"
884,"through_ball,central_attack"
885,"through_ball,fast_break"
886,"central_attack,through_ball"
887,"central_attack,through_ball"
888,"central_attack,through_ball"
889,"central_attack,through_ball"
890,"central_attack,through_ball"
891,"central_attack,through_ball"
892,"central_attack,through_ball,fast_break"
893,"through_ball,central_attack"
894,"central_attack,through_ball"
895,"inside_box_shot,central_attack,through_ball,goal"
896,"through_ball,central_attack"
897,"inside_box_shot,central_attack,through_ball,goal"
898,"central_attack,through_ball"
899,"central_attack,through_ball"
900,"central_attack,through_ball"
901,"central_attack,through_ball"
902,"central_attack,through_ball,fast_break"
903,"central_attack,through_ball"
904,"through_ball,fast_break"
905,"central_attack,through_ball"
906,"through_ball,fast_break"
907,"central_attack,through_ball"
908,"through_ball,fast_break"
909,"central_attack,through_ball"
910,"central_attack,through_ball"
911,"central_attack,through_ball"
912,"central_attack,through_ball,goal"
913,"central_attack,through_ball"
914,"central_attack,through_ball"
915,"central_attack,through_ball"
916,"through_ball,central_attack"
917,"central_attack,through_ball"
