attack_id,features
785,"central_attack,fast_break"
786,"inside_box_shot,central_attack,through_ball,goal"
787,"central_attack,through_ball,fast_break"
788,"inside_box_shot,central_attack,through_ball,goal"
789,"through_ball,central_attack"
790,"central_attack,fast_break"
791,"central_attack,through_ball"
792,"central_attack,through_ball"
793,"inside_box_shot,central_attack,through_ball,goal"
794,"central_attack,through_ball"
795,"central_attack,through_ball"
796,"central_attack,through_ball"
797,"central_attack,through_ball"
798,"central_attack,fast_break"
799,"central_attack,through_ball"
800,"central_attack,through_ball"
801,"through_ball,central_attack"
802,"through_ball,central_attack,fast_break"
803,"through_ball,central_attack"
804,"central_attack,fast_break"
805,"central_attack,through_ball"
806,"central_attack,through_ball"
807,"central_attack,through_ball"
808,"central_attack,through_ball"
809,"central_attack,through_ball"
810,"central_attack,through_ball,fast_break"
811,"central_attack,through_ball"
812,"central_attack,through_ball"
813,"through_ball,central_attack"
814,"central_attack,through_ball,goal"
815,"central_attack,through_ball,fast_break"
816,"central_attack,through_ball"
817,"central_attack,through_ball"
818,"central_attack,through_ball"
819,"inside_box_shot,central_attack,through_ball,goal"
820,"central_attack,through_ball"
821,"central_attack,through_ball"
822,"central_attack,through_ball"
823,"central_attack,through_ball"
824,"central_attack,through_ball"
825,"through_ball,fast_break"
826,"central_attack,through_ball"
827,"inside_box_shot,central_attack,through_ball,goal"
828,"central_attack,through_ball,inside_box_shot,fast_break,goal"
829,"central_attack,through_ball"
830,"through_ball,central_attack"
831,"through_ball,central_attack"
832,"central_attack,through_ball"
833,"central_attack,through_ball"
834,"central_attack,through_ball"
835,"through_ball,fast_break"
836,"central_attack,through_ball"
837,"central_attack,through_ball"
838,"central_attack,through_ball"
839,"central_attack,through_ball"
840,"through_ball,central_attack"
841,"central_attack,through_ball"
842,"through_ball,goal"
843,"central_attack,fast_break"
844,"inside_box_shot,central_attack,fast_break,goal"
845,"inside_box_shot,central_attack,through_ball,goal"
846,"central_attack,through_ball"
